#: table_doi: 10.17182/hepdata.113470.v1/t20
#: name: Fig 5b unbinned
#: description: Mass distributions for selected $D^+ D^0 \pi^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0 \pi^+}$ [MEV],Weight []
3909.61266,0.36754
3909.652,-0.62257
3909.79147,-0.1582
3909.80411,0.19066
3909.81126,-0.42784
3909.84011,1.3653
3909.8475,1.39138
3909.86133,1.54738
3909.93142,-0.74375
3909.95789,0.18379
3910.02417,-0.38981
3910.08544,-0.6036
3910.35485,-0.58408
3910.39252,0.8035
3910.42781,1.70464
3910.48098,-0.76586
3910.48551,-0.71423
3910.48884,-0.33551
3910.49838,-0.56104
3910.51555,1.62924
3910.55632,1.43102
3910.68149,1.52551
3910.75468,1.12118
3910.86698,-0.59521
3910.8746,1.57519
3910.87985,0.96279
3910.99286,-0.51362
3910.99715,1.44777
3911.0074,0.81739
3911.06057,-1.66816
3911.1023,-0.10711
3911.19719,-1.09233
3911.20863,1.50522
3911.34548,1.26964
3911.39197,1.57146
3911.44228,1.56712
3911.55648,1.69706
3911.64756,0.01624
3911.73458,-0.53137
3911.80778,-0.67818
3911.85284,1.41007
3911.88812,-0.43995
3911.89861,-0.75717
3911.91912,-0.58004
3911.93676,0.42523
3911.99994,1.12533
3912.04476,-1.5199
3912.07504,1.06727
3912.08696,1.55277
3912.14943,-0.37038
3912.17184,1.56712
3912.21833,-0.69483
3912.32061,-0.33682
3912.33754,1.66332
3912.42266,-0.3631
3912.4639,-0.59801
3912.62603,1.59347
3912.67133,1.39508
3912.67157,0.37211
3912.68301,-0.00387
3912.73189,-0.54549
3912.82773,-0.4577
3912.86087,0.03665
3912.87112,0.9719
3912.91618,-0.65562
3913.0826,1.62759
3913.10573,1.66086
3913.12504,0.98459
3913.13458,1.68554
3913.13815,-0.65159
3913.21588,1.25987
3913.2278,-0.0644
3913.38706,-0.76714
3913.39922,1.23555
3913.4202,1.33045
3913.42425,1.35158
3913.5108,0.17065
3913.51152,-0.09526
3913.58876,0.04982
3913.5952,-0.51277
3913.6076,1.55793
3913.61284,-0.77067
3913.6436,1.07618
3913.6467,1.41007
3913.64741,1.3769
3913.66339,1.18867
3913.77735,1.21148
3913.78736,0.0309
3913.97095,0.19404
3913.99288,0.18974
3914.07371,1.63477
3914.07943,1.07031
3914.15548,1.72621
3914.17313,0.9559
3914.186,1.25766
3914.20794,1.68185
3914.32333,-0.20671
3914.35528,-0.60834
3914.3734,1.12227
3914.43181,0.45283
3914.53099,1.62492
3914.53385,-0.71263
3914.55007,-0.19106
3914.57176,-0.75357
3914.57391,1.53595
3914.71124,1.2037
3914.72483,-0.56749
3914.7265,1.5693
3914.76178,-0.46161
3914.83593,0.75204
3914.89816,-0.76189
3914.93464,1.00706
3915.11965,0.55715
3915.16709,-0.58566
3915.18164,-0.7289
3915.22026,1.64409
3915.28773,-0.72583
3915.31253,1.08567
3915.44676,1.51616
3915.46273,1.3681
3915.56644,1.6151
3915.62915,0.0691
3915.63368,-0.52816
3915.65919,1.25461
3915.79628,1.39047
3915.81964,1.37382
3915.82012,-0.58282
3915.91358,1.70177
3916.05234,1.54306
3916.05973,-0.57673
3916.19468,0.0416
3916.49461,1.67801
3916.51797,1.08176
3916.54205,-0.72473
3916.55946,1.30789
3916.59713,0.87081
3916.68296,-0.60564
3916.7242,0.08407
3916.74209,1.22162
3916.82744,0.76705
3916.95595,-0.30245
3917.05084,-0.50966
3917.14764,-0.45406
3917.16504,-0.73539
3917.1989,1.55249
3917.23108,-0.68594
3917.23657,1.15918
3917.31024,1.50218
3917.39821,1.40129
3917.51909,0.284
3917.54699,0.60534
3917.58585,1.36189
3917.60635,-0.34546
3917.6476,1.62693
3917.68932,-0.1699
3917.73272,-0.58282
3917.75584,0.41845
3917.77301,-0.62618
3917.77706,-0.62468
3917.91153,-0.11613
3917.9678,-0.67748
3918.02096,1.3907
3918.05577,-0.75093
3918.15805,1.72068
3918.1807,0.70928
3918.19835,0.12379
3918.20908,0.41988
3918.25628,1.29821
3918.26057,1.70464
3918.27631,1.23771
3918.32709,-0.72473
3918.3991,1.6702
3918.39933,-0.14618
3918.41793,-0.61691
3918.44487,0.36504
3918.47682,-1.37276
3918.65635,-0.39884
3918.67757,1.64433
3918.76674,0.38034
3918.8211,0.90825
3918.82491,1.69411
3918.85734,-0.76734
3918.9682,-0.60096
3919.0042,0.92492
3919.09194,0.31511
3919.17014,1.18497
3919.24858,0.08156
3919.25263,1.71524
3919.2667,-0.51387
3919.31748,-0.76654
3919.34109,1.72674
3919.38972,-0.0125
3919.41857,0.32348
3919.52729,-0.72061
3919.62361,0.98747
3919.71755,1.41186
3919.72685,1.45324
3919.7464,0.24764
3919.78192,1.55886
3919.81411,1.16788
3919.83748,0.78999
3919.88134,0.78597
3919.91925,-0.59859
3920.04252,-0.66101
3920.07852,0.72555
3920.13144,-0.12113
3920.16625,1.27184
3920.17341,-0.60082
3920.31813,-0.74965
3920.33124,-0.56683
3920.34912,0.07049
3920.36939,-0.76261
3920.39132,-0.73275
3920.79782,1.31255
3920.80331,-0.6131
3920.90797,-0.53273
3921.01788,1.63584
3921.2513,1.48209
3921.28134,1.66415
3921.32688,1.44399
3921.44489,1.42063
3921.47899,-0.54519
3921.49687,-0.4609
3921.61727,-0.27434
3921.66257,1.42189
3921.76962,0.0313
3921.79584,1.61507
3921.80991,-0.45266
3921.82326,0.80998
3921.90242,-0.70905
3921.90742,1.0808
3921.92316,0.05743
3921.93866,0.72555
3921.94962,-0.73275
3921.98276,1.63262
3922.02306,-0.289
3922.0593,1.16843
3922.09363,-0.61596
3922.12224,1.30727
3922.14584,1.25845
3922.26648,-0.76106
3922.28413,-0.59433
3922.35851,1.65028
3922.42885,0.43715
3922.46437,-0.72848
3922.47295,1.48273
3922.51348,1.12865
3922.57142,0.51413
3922.5738,1.35629
3922.60981,1.12111
3922.68658,0.59155
3922.70064,0.67422
3922.70327,-0.5962
3922.91403,-0.21377
3922.95361,-0.41559
3923.09856,0.31289
3923.10119,-0.26266
3923.14816,1.5539
3923.20848,1.55267
3923.31481,1.3405
3923.41018,1.66659
3923.44165,0.87651
3923.44999,1.6433
3923.51222,1.65028
3923.55251,1.27747
3923.64001,0.4258
3923.6815,1.09289
3923.70748,1.55576
3923.87652,-0.40292
3924.02864,1.70566
3924.03531,-0.51909
3924.18408,-0.74574
3924.18671,1.60034
3924.23964,-0.59333
3924.29852,-1.42499
3924.48759,1.32016
3924.52574,-0.65562
3924.55268,-0.73941
3924.62874,1.59843
3924.66211,1.28113
3924.78013,1.6507
3924.88837,-0.47047
