#: table_doi: 10.17182/hepdata.113470.v1/t19
#: name: Fig 5a unbinned
#: description: Mass distributions for selected $D^+ D^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^+}$ [MEV],Weight []
3746.61779,0.10246
3746.62256,-0.39029
3746.67978,0.40393
3746.68503,-0.33018
3746.70672,-0.33248
3746.73414,0.0568
3746.75369,0.14339
3746.80138,0.03019
3746.82856,0.13592
3746.8338,0.31752
3746.88148,-0.04184
3746.92774,1.45384
3746.93346,-0.31348
3746.93465,0.08205
3746.9523,0.04225
3746.96016,-0.12622
3746.96279,0.15289
3746.97494,0.04231
3746.99783,0.15643
3747.04027,0.0288
3747.05076,0.13791
3747.06817,0.14116
3747.08271,1.35316
3747.11824,1.37865
3747.12396,0.15917
3747.13326,1.06366
3747.16568,0.14797
3747.18976,-0.62944
3747.22171,0.15937
3747.22528,0.12958
3747.22958,0.6084
3747.25008,0.17019
3747.26677,-0.20789
3747.27654,0.01908
3747.27798,-0.31208
3747.28155,0.15875
3747.29848,1.09135
3747.30206,-0.37614
3747.30206,0.14422
3747.30587,0.60261
3747.30658,0.74142
3747.31422,-0.22351
3747.34139,-0.34256
3747.35784,-0.36564
3747.365,0.06686
3747.38288,-0.66542
3747.40839,0.15366
3747.4122,0.15726
3747.43009,0.14927
3747.50519,0.15795
3747.51449,-0.68431
3747.52593,0.88688
3747.53594,0.12071
3747.55788,1.18725
3747.56503,-0.28559
3747.57194,0.12197
3747.576,0.14828
3747.57886,1.51832
3747.58339,1.44137
3747.59245,0.15809
3747.60175,-0.15657
3747.60842,-0.41912
3747.63918,0.15259
3747.65539,0.15792
3747.68352,0.08112
3747.68662,0.14914
3747.68877,-0.70073
3747.71261,0.91559
3747.71476,0.00968
3747.7498,0.1452
3747.75934,-0.30166
3747.79177,0.15937
3747.81823,1.05678
3747.84613,-0.4794
3747.86282,0.44308
3747.86615,0.15891
3747.87617,0.15247
3747.89667,-0.54056
3747.90096,-0.04567
3747.90096,1.02403
3747.90144,-0.06616
3747.93482,0.15633
3747.95055,1.21021
3747.97392,0.12022
3747.98489,0.15904
3747.9856,-0.6094
3747.99633,1.24082
3748.01159,0.15203
3748.02208,-0.21504
3748.02566,0.14232
3748.0309,-0.6144
3748.03782,0.13381
3748.04306,-0.02455
3748.05164,-0.10467
3748.0526,0.06454
3748.08717,0.36813
3748.09218,-0.16751
3748.09408,-0.23991
3748.10123,-0.07169
3748.12198,0.06908
3748.12293,0.67542
3748.12913,-0.3176
3748.13151,-0.33131
3748.14677,0.09198
3748.16203,-0.2661
3748.16394,-0.15594
3748.16752,0.61354
3748.16871,-0.31182
3748.17395,-0.49696
3748.21568,0.12872
3748.22807,0.0808
3748.22855,-0.50102
3748.23809,0.55578
3748.24333,0.00675
3748.28124,0.15927
3748.30151,-0.61079
3748.30413,0.12263
3748.3058,0.08079
3748.31629,0.81157
3748.31772,-0.38656
3748.3387,-0.1265
3748.3561,0.07992
3748.3604,-0.24852
3748.36993,0.15939
3748.37804,-0.32646
3748.3995,0.15441
3748.40474,0.10402
3748.42143,0.15909
3748.43025,-0.54642
3748.43645,0.14812
3748.45028,0.15687
3748.45552,1.14697
3748.48866,-0.5567
3748.50059,0.07382
3748.51179,0.13276
3748.52776,0.01754
3748.53063,0.15654
3748.56806,0.03415
3748.56949,-0.6933
3748.57569,-0.09081
3748.57616,-0.51016
3748.57688,-0.61789
3748.58427,-0.42172
3748.59381,-0.19044
3748.59548,-0.34328
3748.64769,0.71803
3748.65055,0.02568
3748.6558,0.00521
3748.65723,0.11216
3748.71182,1.05243
3748.73734,-0.72933
3748.74186,0.7193
3748.74592,-0.7006
3748.75188,-0.19759
3748.77191,-0.2055
3748.7781,-0.07082
3748.78359,0.08893
3748.79122,-0.50964
3748.80028,-0.0587
3748.81458,0.15504
3748.82007,0.15528
3748.82913,-0.53415
3748.83175,0.0579
3748.84224,-0.18758
3748.85821,0.01483
3748.85964,0.99249
3748.88086,0.10578
3748.88778,-0.4343
3748.88921,1.3333
3748.93498,0.04673
3748.95835,0.14864
3748.98529,0.06878
3748.9996,1.3638
3749.00126,0.14899
3749.01509,0.15884
3749.01819,0.13416
3749.03417,-0.59681
3749.07494,0.12941
3749.07994,1.02783
3749.08543,0.15941
3749.09663,1.59694
3749.11428,-0.68466
3749.11904,-0.10094
3749.12214,0.00878
3749.15194,0.15692
3749.16506,-0.52169
3749.17912,-0.74026
3749.1889,-0.63843
3749.19939,-0.35766
3749.20416,0.14512
3749.20487,0.67933
3749.2125,-0.50489
3749.21822,0.10411
3749.26114,0.02524
3749.27139,-0.00921
3749.28927,0.15555
3749.31955,0.15406
3749.33004,0.13782
3749.35627,-0.25658
3749.36509,-0.19803
3749.37272,-0.00455
3749.38345,-0.2682
3749.38655,0.15552
3749.39132,0.11496
3749.39346,-0.38783
3749.40634,-0.30706
3749.40968,-0.44815
3749.41039,-0.70589
3749.42803,-0.3978
3749.43566,1.54859
3749.43781,-0.40168
3749.45498,0.15738
3749.46356,1.43998
3749.4638,0.08012
3749.48907,0.91509
3749.50337,0.01352
3749.51792,-0.20221
3749.54963,0.03098
3749.55535,1.4653
3749.57418,-0.41483
3749.58706,-0.55044
3749.60136,0.11999
3749.61281,0.14316
3749.62807,-0.75242
3749.64571,0.0004
3749.65882,0.03142
3749.69745,-0.50431
3749.69792,-0.1903
3749.70865,0.0754
3749.71032,0.15015
3749.71151,-0.18925
3749.71962,0.09206
3749.72677,-0.03447
3749.73726,-0.57518
3749.7437,1.5057
3749.76659,-0.60116
3749.77326,-0.08475
3749.77541,0.09369
3749.789,-0.26982
3749.79782,-0.43886
3749.79782,-0.70775
3749.80235,-0.45837
3749.80474,0.0235
3749.8281,0.15862
3749.83096,0.14798
3749.87674,0.08119
3749.87698,-0.45196
3749.89653,-0.48055
3749.90511,0.1475
3749.91202,0.14004
3749.93277,0.13712
3749.93467,-0.14267
3749.95446,-0.56597
3749.96662,-0.00302
3749.97068,-0.47566
3749.9721,0.15877
3750.00691,0.05137
3750.02503,-0.00413
3750.03147,-0.02948
3750.03743,1.32918
3750.03982,0.64135
3750.04244,0.82732
3750.0453,0.06219
3750.06056,0.62339
3750.08607,0.74152
3750.12064,-0.54152
3750.12469,-0.34666
3750.13447,-0.47115
3750.14138,-0.45547
3750.15187,0.0813
3750.15259,-0.14446
3750.16546,0.12817
3750.20051,0.11704
3750.20456,0.10265
3750.20504,1.27318
3750.2265,-0.14065
3750.23103,1.5794
3750.23532,-0.61498
3750.24223,0.87141
3750.24509,0.09708
3750.24605,-0.40576
3750.24652,-0.57336
3750.26727,0.15233
3750.28062,1.5746
3750.28229,1.40996
3750.28944,-0.53112
3750.29373,0.08689
3750.33903,-0.28741
3750.35787,0.15771
3750.37479,-0.2683
3750.37575,-0.16654
3750.42796,0.10007
3750.44131,0.07684
3750.4468,-0.56594
3750.50259,0.03515
3750.52333,1.22366
3750.55313,0.81138
3750.58746,0.1474
3750.59819,0.15792
3750.59915,0.15855
3750.60034,0.15354
3750.66161,0.09804
3750.6628,0.56968
3750.7062,-0.68348
3750.73886,1.21329
3750.74387,0.05028
3750.74935,0.51108
3750.76556,1.32966
3750.7689,0.07719
3750.77128,-0.47617
3750.77272,0.14669
3750.77391,0.36038
3750.77844,-0.26531
3750.78702,0.3027
3750.79322,-0.02105
3750.80657,0.15942
3750.81897,0.04993
3750.83232,-0.05771
3750.83685,1.4979
3750.84257,-0.32171
3750.84806,0.11162
3750.88024,0.05627
3750.88167,-0.07954
3750.88739,1.04521
3750.88859,-0.44967
3750.88954,-0.38862
3750.89335,0.15801
3750.91529,-0.00286
3750.91839,0.15921
3750.92292,0.14795
3750.92959,0.03909
3750.97179,-0.17004
3750.97179,0.14045
3750.98944,0.10202
3750.99659,1.53428
3750.99897,0.1468
3751.00398,0.07383
3751.00923,0.14343
3751.02282,-0.23576
3751.02615,-0.71515
3751.055,0.1049
3751.05667,-0.44186
3751.07932,0.15885
3751.10912,0.15341
3751.11961,-0.41891
3751.13678,-0.36604
3751.19662,0.04286
3751.20759,-0.38069
3751.2219,-0.11701
3751.23096,0.15941
3751.23119,-0.58466
3751.24383,0.30889
3751.2517,-0.0439
3751.261,0.15796
3751.26219,0.15943
3751.266,-0.54836
3751.28245,-0.21127
3751.28555,-0.18059
3751.29628,0.08508
3751.31011,-0.40086
3751.32036,0.79654
