#: table_doi: 10.17182/hepdata.113470.v1/t18
#: name: Fig 4b unbinned
#: description: $D^+ D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4b_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^0}$ [MEV],Weight []
3736.86433,0.83196
3736.86624,-0.04278
3736.8679,-0.50339
3736.86957,1.1768
3736.89127,-0.65176
3736.89485,-0.55205
3736.89604,0.35485
3736.89675,0.03231
3736.89723,-0.64662
3736.9113,0.02806
3736.91273,1.20693
3736.9194,1.22102
3736.93657,-0.40787
3736.94348,-0.03877
3736.9504,0.11238
3736.9616,0.03909
3736.9628,0.5318
3736.96423,-0.61335
3736.97972,0.08834
3736.99212,-0.35531
3736.99331,1.07887
3736.99713,1.26334
3737.00333,0.10636
3737.00428,0.12448
3737.01763,0.06449
3737.03599,0.12648
3737.04171,1.47072
3737.05626,1.33852
3737.07223,0.11457
3737.07247,0.26909
3737.07748,1.39411
3737.0801,1.42693
3737.08057,0.07019
3737.08177,-0.59682
3737.08224,-0.25086
3737.08725,0.14105
3737.08844,1.06004
3737.09488,0.12346
3737.09917,-0.00474
3737.09941,0.12826
3737.10227,-0.05925
3737.10489,0.17441
3737.10585,-0.05935
3737.10608,1.01818
3737.11371,-0.29666
3737.11443,1.41132
3737.11681,0.87753
3737.1192,0.42753
3737.12134,1.26161
3737.12659,-0.30597
3737.13565,0.57327
3737.14447,0.45701
3737.15591,0.10319
3737.1583,1.39179
3737.1645,-0.57962
3737.16474,-0.31718
3737.16617,0.12924
3737.17308,0.94744
3737.17833,1.42861
3737.18286,0.04903
3737.19072,1.17587
3737.21051,0.12488
3737.2117,0.13066
3737.21194,-0.02627
3737.2148,-0.34572
3737.21623,0.05077
3737.2241,-0.08496
3737.23221,0.47675
3737.23674,0.56538
3737.24389,0.10196
3737.25033,0.03885
3737.25438,0.18121
3737.26344,1.06731
3737.26821,0.03247
3737.26845,1.13639
3737.26845,0.13064
3737.26964,1.28547
3737.27465,0.03408
3737.27465,-0.18888
3737.29849,-0.63578
3737.30278,0.0287
3737.30397,1.3025
3737.30993,0.13046
3737.31184,-0.62681
3737.31279,-0.33175
3737.32185,0.02634
3737.32352,-0.52745
3737.3476,0.76576
3737.35404,0.12119
3737.35476,0.12484
3737.35809,-0.44054
3737.37216,0.11534
3737.37383,-0.04795
3737.391,0.03253
3737.41198,0.44709
3737.41364,-0.19404
3737.42008,0.11146
3737.4208,1.47392
3737.42866,-0.17156
3737.4413,-0.05589
3737.45894,1.03815
3737.46586,1.03946
3737.47277,-0.03388
3737.47611,0.5158
3737.47992,0.41292
3737.48326,-0.50497
3737.48875,-0.2633
3737.5021,-0.02032
3737.50925,0.12748
3737.52522,1.14812
3737.52928,0.12726
3737.53166,0.02876
3737.53524,0.82753
3737.54072,0.73092
3737.54215,1.12212
3737.5555,-0.09444
3737.56266,-0.17984
3737.56313,0.19401
3737.57505,0.04857
3737.58149,1.46782
3737.58721,1.46994
3737.59008,1.29435
3737.59389,-0.21263
3737.59842,-0.65587
3737.60366,-0.21423
3737.60796,0.0624
3737.60867,1.11749
3737.60986,-0.0519
3737.6225,0.61819
3737.63037,-0.04814
3737.63108,0.90624
3737.6492,0.83111
3737.65492,0.02578
3737.65707,1.45108
3737.65945,0.10183
3737.65945,1.01503
3737.66065,-0.11839
