#: table_doi: 10.17182/hepdata.113470.v1/t17
#: name: Fig 4a unbinned
#: description: $D^0 D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 D^0}$ [MEV],Weight []
3734.50351,0.11193
3734.50732,-0.43992
3734.50923,-0.05808
3734.52067,0.08624
3734.52115,0.11505
3734.5221,-0.44873
3734.5283,-0.48622
3734.52854,1.22389
3734.5326,0.498
3734.5345,0.11504
3734.53856,0.11554
3734.54094,0.5952
3734.54952,1.33337
3734.55214,0.11406
3734.5581,-0.1355
3734.56478,0.48247
3734.58195,1.35924
3734.58767,0.6373
3734.59506,1.23694
3734.60197,0.11415
3734.60984,0.90642
3734.61199,-0.5585
3734.6189,0.1155
3734.62224,-0.2507
3734.63297,-0.05893
3734.63702,1.29508
3734.63845,-0.44707
3734.63869,1.3859
3734.64084,-0.21315
3734.64418,0.73858
3734.65061,-0.1227
3734.65466,-0.56206
3734.66826,-0.53924
3734.67112,-0.53236
3734.67302,-0.04686
3734.68757,0.92737
3734.69305,0.07699
3734.69496,1.33066
3734.69615,-0.06423
3734.70116,1.34511
3734.70283,0.45328
3734.70712,-0.08524
3734.71046,-0.44376
3734.71188,0.09199
3734.7219,-0.40125
3734.72452,0.5574
3734.73573,1.31507
3734.74336,1.23672
3734.77268,0.11395
3734.77697,-0.47162
3734.77793,0.43497
3734.77984,-0.41449
3734.79271,0.10489
3734.79342,1.1123
3734.82204,-0.38452
3734.83467,0.11423
3734.83801,0.48761
3734.84635,1.13177
3734.86185,-0.53802
3734.88236,-0.02531
3734.88641,-0.32937
3734.88998,0.0963
3734.91335,-0.06987
3734.9143,-0.46809
3734.91716,0.75843
3734.92289,-0.01811
3734.93457,1.26678
3734.93934,1.08418
3734.9484,-0.1601
3734.95126,0.44118
3734.95626,0.11435
3734.96151,0.88431
3734.9627,0.00478
3734.98225,1.09394
3734.98917,-0.55696
3734.9987,-0.39282
3735.00323,0.1051
3735.0266,1.14236
3735.02779,0.00557
3735.04353,0.25734
3735.04353,-0.40659
3735.04424,-0.06297
3735.04782,0.08466
3735.05211,0.83723
3735.0595,0.11314
3735.0707,1.36222
3735.07118,-0.4238
3735.07142,1.15037
3735.07667,-0.53249
3735.07762,-0.51771
3735.07905,-0.47332
3735.07905,1.10122
3735.09622,1.28199
3735.09812,-0.21858
3735.10051,-0.50642
3735.10742,0.0868
3735.11672,0.25748
3735.11863,-0.56498
3735.12554,-0.44447
3735.13484,0.08124
3735.13532,-0.15697
3735.14104,1.37193
3735.14557,0.16696
3735.15081,-0.45865
3735.16011,1.00295
3735.16345,0.11536
3735.16774,-0.46242
3735.16965,-0.30342
3735.17942,-0.19287
3735.18109,0.10984
3735.18443,-0.5628
3735.18896,-0.24958
3735.20017,-0.01228
3735.22377,-0.40313
3735.22496,-0.5024
3735.25548,0.8816
3735.27479,0.11555
3735.28743,1.03559
3735.29244,-0.03867
3735.29601,0.09246
3735.29983,0.77469
3735.3015,-0.54095
3735.30292,-0.49714
3735.31008,-0.49548
3735.31246,0.33722
3735.3189,1.3704
3735.32033,0.10703
3735.33893,0.11459
3735.34298,0.547
3735.34727,0.56114
3735.35466,-0.531
3735.36205,1.13495
3735.37684,0.11555
3735.4095,-0.09854
3735.41665,1.10766
3735.42023,-0.32695
3735.42619,-0.39662
3735.42619,-0.52534
3735.45885,0.11555
3735.47435,-0.49788
3735.48126,0.06179
3735.48198,-0.46635
3735.5001,0.11555
3735.50654,-0.25705
3735.50963,-0.24032
3735.51488,1.02425
3735.53681,-0.26118
3735.53705,-0.03494
3735.54134,-0.0314
3735.56447,-0.45721
3735.56638,-0.34877
3735.58235,-0.03828
3735.58998,-0.50013
3735.59356,0.10119
3735.6081,0.09115
3735.61597,0.01187
3735.62932,-0.07278
3735.63314,1.33279
3735.63361,0.11515
3735.63695,-0.08788
3735.64482,0.11062
3735.64839,1.32414
3735.65435,0.60404
3735.65507,1.21138
3735.65507,0.10206
3735.66198,-0.36913
3735.66389,1.29993
3735.6658,1.38743
3735.66628,1.3151
3735.66771,-0.48643
3735.672,1.26844
3735.67986,-0.35563
3735.68082,-0.29768
3735.68749,-0.48257
3735.69417,1.34844
3735.69679,-0.33363
3735.69846,0.11504
3735.70991,0.11522
3735.71682,0.95101
3735.74018,0.0588
3735.74138,0.74993
3735.74734,0.11535
3735.7564,-0.49936
3735.75854,1.38529
3735.76713,-0.12441
3735.76832,0.05586
3735.77452,0.93852
3735.77547,-0.43115
3735.78191,0.11114
3735.7955,0.67916
3735.79812,0.95319
3735.81934,0.57391
3735.81934,-0.42966
3735.85653,-0.26267
3735.86607,1.34398
3735.87942,-0.53132
3735.8799,-0.54735
3735.8799,0.21185
3735.89063,1.36077
3735.89206,0.11543
3735.89277,0.13498
3735.89373,-0.46852
3735.90374,-0.41981
3735.91447,-0.1328
3735.94499,-0.55858
3735.94761,-0.15768
3735.95738,1.30159
3735.95762,-0.36083
3735.95977,-0.38252
3735.96215,0.92676
3735.96621,0.89436
3735.97407,-0.47372
3735.97431,0.07804
3735.98337,0.09419
3735.98432,0.11473
3736.00125,1.37957
3736.00698,-0.54095
3736.00936,0.11483
3736.01008,0.11423
3736.01008,0.42984
3736.01031,0.03091
3736.01222,-0.56114
3736.01508,0.11128
3736.01699,1.3777
3736.04107,-0.5579
3736.04751,0.05059
3736.05013,0.1138
3736.05323,0.84739
3736.05514,0.11547
3736.06873,-0.38097
3736.07969,-0.55781
3736.10044,1.33838
3736.11236,-0.1545
3736.12452,0.03654
3736.12499,-0.09823
3736.13977,0.49444
3736.15336,-0.39223
3736.15622,-0.46007
3736.1629,0.11089
3736.16528,-0.02934
3736.17506,0.09888
3736.18627,0.11182
3736.18698,0.06219
3736.18936,0.11504
3736.20105,0.11497
3736.20367,-0.52149
3736.20987,0.11545
3736.22942,0.09853
3736.23466,-0.49876
3736.23991,0.27691
3736.24492,-0.43148
3736.24659,-0.31586
3736.25374,1.14448
3736.25374,-0.20367
3736.25803,0.40265
3736.25994,-0.12205
3736.26089,-0.11392
3736.2659,-0.46086
3736.27686,-0.48838
3736.28378,0.64059
3736.29522,1.20436
3736.30595,-0.52211
3736.31144,0.115
3736.31573,-0.48837
3736.32455,-0.30331
3736.32622,0.11548
